cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,polintr,trstprl,trstplt,vote,lrscale,gincdif,imbgeco,imueclt,imwbcnt,gndr,agea,eisced,eduyrs,mnactic
DE,ESS1-8e01,1.0,12.12.2018,71389,ESS2e03_6,2,3.6,194107,1.2465,0.8182753308778,2.45294567944251,2,2,2,1,2,4,8,8,7,2,51,3,11,1
DE,ESS1-8e01,1.0,12.12.2018,71390,ESS2e03_6,2,3.6,194110,1.2465,0.97836946377701,2.45294567944251,2,7,6,1,4,2,6,8,7,2,57,3,17,1
DE,ESS1-8e01,1.0,12.12.2018,71391,ESS2e03_6,2,3.6,194122,1.2465,1.26322198583948,2.45294567944251,3,3,1,1,4,2,6,9,5,1,21,2,13,2
DE,ESS1-8e01,1.0,12.12.2018,71392,ESS2e03_6,2,3.6,194125,1.2465,1.11991650403951,2.45294567944251,1,4,6,1,6,2,3,4,3,1,95,3,10,6
DE,ESS1-8e01,1.0,12.12.2018,71393,ESS2e03_6,2,3.6,194128,1.2465,1.15936483932406,2.45294567944251,1,3,1,1,3,4,1,10,5,1,42,3,14,1
DE,ESS1-8e01,1.0,12.12.2018,71394,ESS2e03_6,2,3.6,194211,1.2465,0.862769437696681,2.45294567944251,3,3,3,1,4,1,3,7,5,2,58,5,11,1
DE,ESS1-8e01,1.0,12.12.2018,71395,ESS2e03_6,2,3.6,194217,1.2465,1.11991650403951,2.45294567944251,2,8,4,1,5,2,7,8,8,1,57,3,12,1
DE,ESS1-8e01,1.0,12.12.2018,71396,ESS2e03_6,2,3.6,194226,1.2465,1.15936483932406,2.45294567944251,2,2,3,2,6,4,5,1,2,1,39,3,11,3
DE,ESS1-8e01,1.0,12.12.2018,71397,ESS2e03_6,2,3.6,194303,1.2465,0.849292893468597,2.45294567944251,2,4,3,1,3,1,7,7,7,1,46,7,16,1
DE,ESS1-8e01,1.0,12.12.2018,71398,ESS2e03_6,2,3.6,194306,1.2465,0.8182753308778,2.45294567944251,2,4,3,1,3,4,7,8,7,2,45,5,15,1
DE,ESS1-8e01,1.0,12.12.2018,71399,ESS2e03_6,2,3.6,194315,1.2465,0.994706366656172,2.45294567944251,3,4,2,1,2,2,6,8,6,1,34,6,22,4
DE,ESS1-8e01,1.0,12.12.2018,71400,ESS2e03_6,2,3.6,194318,1.2465,1.22516603721158,2.45294567944251,3,4,3,3,4,2,3,6,3,2,15,1,10,2
DE,ESS1-8e01,1.0,12.12.2018,71401,ESS2e03_6,2,3.6,194321,1.2465,0.8182753308778,2.45294567944251,2,6,3,1,2,2,7,9,9,2,39,3,18,8
DE,ESS1-8e01,1.0,12.12.2018,71402,ESS2e03_6,2,3.6,194324,1.2465,0.97836946377701,2.45294567944251,3,5,2,1,5,2,5,7,5,2,55,3,13,1
DE,ESS1-8e01,1.0,12.12.2018,71403,ESS2e03_6,2,3.6,194336,1.2465,1.09799514701948,2.45294567944251,3,3,4,1,7,2,3,3,4,1,22,3,14,1
DE,ESS1-8e01,1.0,12.12.2018,71404,ESS2e03_6,2,3.6,195101,1.2465,0.8182753308778,2.45294567944251,2,1,5,1,5,3,4,5,4,2,47,3,12,1
DE,ESS1-8e01,1.0,12.12.2018,71405,ESS2e03_6,2,3.6,195110,1.2465,1.12373172026236,2.45294567944251,3,2,3,1,4,2,2,8,3,2,30,3,10,1
DE,ESS1-8e01,1.0,12.12.2018,71406,ESS2e03_6,2,3.6,195113,1.2465,1.12373172026236,2.45294567944251,3,0,0,1,5,2,4,4,4,2,31,3,12,3
DE,ESS1-8e01,1.0,12.12.2018,71407,ESS2e03_6,2,3.6,195122,1.2465,1.11991650403951,2.45294567944251,2,6,6,1,6,2,2,5,4,1,63,5,15,6
DE,ESS1-8e01,1.0,12.12.2018,71408,ESS2e03_6,2,3.6,195125,1.2465,0.97836946377701,2.45294567944251,2,0,2,1,77,3,2,3,3,2,70,3,12,6
DE,ESS1-8e01,1.0,12.12.2018,71409,ESS2e03_6,2,3.6,195128,1.2465,1.12373172026236,2.45294567944251,3,8,6,1,2,4,8,10,7,2,24,4,14,2
DE,ESS1-8e01,1.0,12.12.2018,71410,ESS2e03_6,2,3.6,195131,1.2465,1.11991650403951,2.45294567944251,2,4,5,1,5,4,3,3,2,1,56,3,10,1
DE,ESS1-8e01,1.0,12.12.2018,71411,ESS2e03_6,2,3.6,195134,1.2465,0.833888690434351,2.45294567944251,2,4,5,1,3,3,7,8,8,2,41,5,13,1
DE,ESS1-8e01,1.0,12.12.2018,71412,ESS2e03_6,2,3.6,195211,1.2465,1.11991650403951,2.45294567944251,2,5,3,1,6,4,8,8,4,1,66,3,10,6
DE,ESS1-8e01,1.0,12.12.2018,71413,ESS2e03_6,2,3.6,195214,1.2465,0.855380121725142,2.45294567944251,3,6,3,1,5,5,10,10,10,1,61,5,11,1
DE,ESS1-8e01,1.0,12.12.2018,71414,ESS2e03_6,2,3.6,195217,1.2465,1.15936483932406,2.45294567944251,2,7,5,1,4,4,7,9,6,1,54,3,10,3
DE,ESS1-8e01,1.0,12.12.2018,71415,ESS2e03_6,2,3.6,195223,1.2465,0.8182753308778,2.45294567944251,3,3,4,2,5,2,7,9,6,2,44,3,8,1
DE,ESS1-8e01,1.0,12.12.2018,71416,ESS2e03_6,2,3.6,195226,1.2465,0.849292893468597,2.45294567944251,2,2,3,1,6,4,7,9,7,1,49,7,15,1
DE,ESS1-8e01,1.0,12.12.2018,71417,ESS2e03_6,2,3.6,195229,1.2465,1.09799514701948,2.45294567944251,3,5,4,2,5,8,0,88,3,1,24,3,16,9
DE,ESS1-8e01,1.0,12.12.2018,71418,ESS2e03_6,2,3.6,195232,1.2465,0.849292893468597,2.45294567944251,3,9,7,1,7,4,7,10,7,1,43,5,13,1
DE,ESS1-8e01,1.0,12.12.2018,71419,ESS2e03_6,2,3.6,195235,1.2465,0.849292893468597,2.45294567944251,4,7,4,1,5,5,9,10,8,1,46,5,13,1
DE,ESS1-8e01,1.0,12.12.2018,71420,ESS2e03_6,2,3.6,195303,1.2465,0.8182753308778,2.45294567944251,3,4,6,1,5,4,2,2,4,2,43,3,13,1
DE,ESS1-8e01,1.0,12.12.2018,71421,ESS2e03_6,2,3.6,195306,1.2465,0.849292893468597,2.45294567944251,2,6,4,1,3,2,9,9,8,1,47,6,19,1
DE,ESS1-8e01,1.0,12.12.2018,71422,ESS2e03_6,2,3.6,195309,1.2465,0.849292893468597,2.45294567944251,3,6,8,1,6,4,4,8,4,1,37,5,13,1
DE,ESS1-8e01,1.0,12.12.2018,71423,ESS2e03_6,2,3.6,195312,1.2465,0.849292893468597,2.45294567944251,2,3,3,1,5,4,5,7,5,1,43,5,13,1
DE,ESS1-8e01,1.0,12.12.2018,71424,ESS2e03_6,2,3.6,195315,1.2465,0.8182753308778,2.45294567944251,2,7,8,1,4,3,0,1,0,2,38,3,13,1
DE,ESS1-8e01,1.0,12.12.2018,71425,ESS2e03_6,2,3.6,195318,1.2465,1.11991650403951,2.45294567944251,2,8,5,1,4,4,8,5,4,1,58,5,13,1
DE,ESS1-8e01,1.0,12.12.2018,71426,ESS2e03_6,2,3.6,195324,1.2465,1.36891452445628,2.45294567944251,2,6,5,1,5,4,8,8,5,2,29,6,18,1
DE,ESS1-8e01,1.0,12.12.2018,71427,ESS2e03_6,2,3.6,195336,1.2465,1.36891452445628,2.45294567944251,4,4,4,2,3,2,7,7,7,2,23,5,13,1
DE,ESS1-8e01,1.0,12.12.2018,71428,ESS2e03_6,2,3.6,196101,1.2465,0.8182753308778,2.45294567944251,2,4,3,1,5,3,3,6,4,2,52,3,12,1
DE,ESS1-8e01,1.0,12.12.2018,71429,ESS2e03_6,2,3.6,196104,1.2465,0.8182753308778,2.45294567944251,3,3,2,1,4,3,3,6,4,2,44,3,12,1
DE,ESS1-8e01,1.0,12.12.2018,71430,ESS2e03_6,2,3.6,196107,1.2465,1.12373172026236,2.45294567944251,2,5,2,1,5,3,5,7,5,2,27,3,14,1
DE,ESS1-8e01,1.0,12.12.2018,71431,ESS2e03_6,2,3.6,196110,1.2465,1.22516603721158,2.45294567944251,4,2,2,3,88,2,2,3,5,2,17,2,10,9
DE,ESS1-8e01,1.0,12.12.2018,71432,ESS2e03_6,2,3.6,196119,1.2465,0.855380121725142,2.45294567944251,2,4,3,1,6,2,4,8,5,1,57,7,17,1
